p1est	p2est	vest	yawest	yawrateest	p1meas	p2meas	p1	p2	v1_gt	v2_gt	NIS	sensor_type
0.718202	0.504599	4.75204	0.802634	-0.00148993	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	3.46036	1
1.01873	0.563867	5.12207	-0.226407	-0.0954508	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	2.85362	0
1.19867	0.512725	5.57725	-0.0856437	0.00307191	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	1.75197	1
1.54181	0.517397	5.75475	-0.0994505	0.0503637	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	1.51639	0
1.77865	0.532484	5.54192	-0.0233964	0.158904	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0.661831	1
2.08942	0.549037	5.59451	0.000618069	0.268509	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	1.13993	0
2.29014	0.612045	5.3371	0.10431	0.521374	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	2.9954	1
2.57585	0.646276	5.37272	0.12924	0.534923	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.381829	0
2.84281	0.650759	5.36369	0.109123	0.372789	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.325122	1
3.08867	0.670497	5.3392	0.116408	0.326988	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.388371	0
3.37771	0.570149	5.36052	-0.029799	-0.146863	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	2.96517	1
3.69219	0.477592	5.42982	-0.134798	-0.399635	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	4.07544	0
3.97233	0.55021	5.44888	-0.0381332	-0.103168	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	2.56437	1
4.25417	0.551312	5.46066	-0.0324003	-0.0761734	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.21025	0
4.51311	0.58789	5.40058	0.00166758	0.00340065	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	1.36686	1
4.708	0.697467	5.28663	0.0935211	0.179195	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	9.61132	0
4.96064	0.69707	5.21797	0.0832771	0.146678	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	2.66601	1
5.26837	0.691617	5.28152	0.068064	0.109296	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	3.47	0
5.5272	0.699183	5.29905	0.066138	0.0960315	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	1.33655	1
5.82689	0.710832	5.34488	0.0651317	0.0877282	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	2.00576	0
6.07123	0.643855	5.26089	0.0167543	0.00803674	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	4.91517	1
6.33075	0.747708	5.25679	0.0772908	0.0955818	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	2.69137	0
6.58139	0.781079	5.21246	0.089797	0.106728	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.6202	1
6.83303	0.77632	5.20221	0.0793751	0.0854452	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.383727	0
7.07706	0.764684	5.11205	0.0665907	0.0636066	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	3.75152	1
7.29998	0.840931	5.07425	0.101905	0.104235	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	2.30957	0
7.59118	0.855207	5.17226	0.0990219	0.0938496	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	4.28993	1
7.84434	0.831255	5.1636	0.0790276	0.0641823	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.882395	0
8.09429	0.851724	5.10219	0.0823227	0.0642086	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	2.61445	1
8.33389	0.864543	5.08301	0.0820882	0.0602667	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.417931	0
8.60126	0.950182	5.17077	0.114647	0.0941325	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	6.19812	1
8.84017	1.00297	5.15021	0.130456	0.106705	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.604527	0
9.12877	1.04229	5.20401	0.136529	0.107299	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	6.72026	1
9.36747	1.07175	5.1789	0.139849	0.105141	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.676404	0
9.64597	1.14229	5.2287	0.158682	0.119884	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	4.33638	1
9.92016	1.26069	5.26197	0.196762	0.154894	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	2.97942	0
10.1694	1.34544	5.2016	0.219896	0.172803	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	4.89632	1
10.3959	1.42359	5.17115	0.238734	0.184135	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	1.21902	0
10.629	1.5029	5.08057	0.258154	0.197184	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	4.28125	1
10.8555	1.53738	5.04858	0.256194	0.184576	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	1.22573	0
11.1205	1.58896	5.0878	0.257801	0.175686	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	1.83466	1
11.3997	1.63766	5.12597	0.256868	0.164824	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	1.8805	0
11.6313	1.69414	5.07674	0.263122	0.163428	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.92545	1
11.8618	1.759	5.05809	0.27161	0.163891	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.367128	0
12.1174	1.8462	5.11302	0.285349	0.168962	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	1.37736	1
12.3598	1.87969	5.09613	0.277843	0.151655	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.645021	0
12.6152	1.94146	5.13996	0.279747	0.144458	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.922667	1
12.8169	2.06941	5.1041	0.31417	0.174286	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	3.44556	0
13.0834	2.17382	5.19426	0.328682	0.178631	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	3.47263	1
13.2878	2.31085	5.1642	0.362984	0.206436	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	2.78134	0
13.4707	2.445	5.04599	0.399375	0.238296	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	11.3206	1
13.7199	2.56443	5.07703	0.417354	0.244693	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.905448	0
13.9406	2.67295	5.0522	0.433402	0.249741	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.279067	1
14.1696	2.82783	5.07736	0.464731	0.269969	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.896573	0
14.4189	2.93672	5.1437	0.469763	0.257783	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	1.33905	1
14.6242	3.01701	5.09456	0.471073	0.245676	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	2.0584	0
14.8562	3.16557	5.15162	0.492883	0.25377	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	3.93497	1
15.0646	3.35709	5.17287	0.534702	0.285008	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	1.54456	0
15.2776	3.5168	5.15294	0.56268	0.302044	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	2.76171	1
15.4912	3.707	5.18412	0.597742	0.323221	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.986242	0
15.7031	3.83928	5.16799	0.608728	0.318167	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0.870211	1
15.9232	3.98936	5.17933	0.623232	0.316551	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.160143	0
16.1203	4.14811	5.12754	0.64765	0.330216	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	1.88606	1
16.3176	4.34603	5.15463	0.680284	0.347176	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.623436	0
16.5279	4.5083	5.1703	0.694372	0.343061	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.585375	1
16.7053	4.68096	5.15438	0.717448	0.34953	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.545413	0
16.8615	4.86671	5.05221	0.756607	0.382459	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	4.88345	1
17.0263	5.09392	5.08257	0.797153	0.404911	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.946302	0
17.1967	5.26195	5.04448	0.815879	0.406187	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	1.69491	1
17.3551	5.44814	5.03332	0.839304	0.409607	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.234341	0
17.5116	5.61574	4.97933	0.858545	0.412268	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	3.2141	1
17.7014	5.74792	4.94656	0.853745	0.385833	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	1.41241	0
17.8462	5.94137	4.90286	0.883748	0.402633	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	1.23604	1
18.0189	6.13558	4.92359	0.899935	0.398284	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.662248	0
18.1689	6.34111	4.93294	0.9239	0.402845	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.730363	1
18.2911	6.57901	4.95705	0.962311	0.421794	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.775077	0
18.4236	6.79032	4.94743	0.989259	0.430175	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.324374	1
18.5688	6.93389	4.88143	0.989177	0.408224	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	1.85701	0
18.717	7.14058	4.91577	1.0018	0.396105	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	0.595611	1
18.9097	7.28572	4.88639	0.986342	0.359643	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	3.84586	0
18.9997	7.48757	4.81099	1.02287	0.386781	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	4.09467	1
19.0925	7.74789	4.85564	1.06551	0.410675	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	1.32112	0
19.2128	7.9553	4.8565	1.08191	0.405322	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	0.26208	1
19.2924	8.17157	4.83654	1.11219	0.415783	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	1.4527	0
19.391	8.38262	4.83897	1.13001	0.409241	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	2.27137	1
19.4842	8.5341	4.74592	1.13658	0.395596	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	3.85395	0
19.5755	8.74273	4.72124	1.15898	0.401046	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	0.569674	1
